Unnamed: 0,Question,A,B,C,D,Answer,Grade,remain
355,Which of the following provinces is not in the Southeast region?,Ho Chi Minh City,Binh Duong,Long An,Tay Ninh,C,Geography 9,True
357,Provinces and centrally-run cities of the Southeast region:,"Binh Duong, Binh Phuoc.",Ho Chi Minh City,"Tay Ninh, Dong Nai.","Dong Nai, Binh Duong.",B,Geography 9,True
362,Modern industries that have been formed and developed in the Southeast are:,"Textiles, leather, footwear, ceramics.","Oil, gas, fertilizer, energy.","Food processing, mechanics.","Oil and gas, electronics, high technology.",D,Geography 9,True
363,The most widely grown perennial industrial crops in the Southeast are:,Thing,Coffee,Rubber,Pepper,C,Geography 9,True
364,The top priority in promoting crop intensification in the Southeast is:,Irrigation,Fertilizer,Protect upstream forests,Pest control,A,Geography 9,True
365,The ratio of crude oil exploited in the Southeast region compared to the whole country accounts for:,30 %,45 %,90 %,100 %,D,Geography 9,True
366,Which of the following is not true about the characteristics of the service industry in the Southeast region?,Ho Chi Minh City is the most important traffic hub of the region.,The region receiving the highest proportion of foreign investment in the country,Rubber is the export commodity with the highest value.,Crude oil has the highest economic value.,C,Geography 9,True
368,The largest tourist center of the Southeast and the whole country is:,Is the economic center of the South.,Near many potential areas.,Near the center of Southeast Asian countries.,The most advanced agriculture.,D,Geography 9,True
369,The Southeast region can develop rapidly not because of:,Vung Tau,Ho Chi Minh City,Dalat,Nha Trang,B,Geography 9,True
372,The Southeast's top non-export items are:,There are only two coastal provinces and cities (HCMC and Ba Ria - Vung Tau),"Poor soil, erratic weather","Less minerals, forests and increased risk of environmental pollution.",Limited and endangered biological resources,C,Geography 9,True
373,The region's difficulties in economic development are:,"Densely populated, high population density",Limited consumer market due to high living standards,"Abundant labor force, with professional qualifications and expertise.",Has strong attraction to workers nationwide.,B,Geography 9,True
374,The characteristics that are not true for the Southeast region are:,The entire area is flat.,Three sides facing the sea,Located in the southernmost part of the country,The largest in the country.,B,Geography 9,True
378,The largest land group in the Mekong Delta is:,Saltwater intrusion,Forest fire,High tide,Fresh water shortage,D,Geography 9,True
380,"To limit the harmful effects of floods, the main current direction of the Mekong Delta is:","Tay, Nung, Thai.","Gia Rai, Ede, Ba Na.","Khmer, Cham, Chinese.","Shoes, Knife, Butt.",C,Geography 9,True
382,The Mekong Delta is formed by river alluvium?,Can Tho City.,Ca Mau City.,My Tho City.,Cao Lanh City.,A,Geography 9,True
383,The largest economic center in the Mekong Delta is.,Occupies more than 50% of cultivated area,More than 50% of production,Occupying more than 50% of area and output,Good conditions for farming.,C,Geography 9,True
384,Mekong Delta is,Forestry,Traffic,Tourism,Seafood.,D,Geography 9,True
386,"Besides being the number 1 rice granary of the country, the Mekong Delta also develops strongly:",River route,Railway,Road,Sea route.,A,Geography 9,True
387,The industry with the most favorable conditions for development in the Mekong Delta is:,Night market,Wood market,Floating market,Fair.,C,Geography 9,True
391,How many nautical miles wide is our country's exclusive economic zone?,Phu Quy,Phu Quoc,Cat Ba,Con Dao,B,Geography 9,True
392,"Aiming for sustainable development in the energy industry, the United States focuses on developing",geothermal power,nuclear power,hydroelectric.,thermoelectric,A,Geography 11,True
393,"To reduce greenhouse gas emissions, the United States is focusing on measures",develop traditional production techniques,"modernize machinery, equipment and techniques.",use non-renewable energy,redistribution of manufacturing plants,B,Geography 11,True
394,What is the current population of the United States in the world?,2.,6.,4.,3.,D,Geography 11,True
397,Which of the following countries in Southwest Asia has the most developed agricultural industry?,Israel.,Iraq.,Lebanon.,Iran.,C,Geography 11,True
399,The main form of livestock farming in the Southwest Asia region is,grazing,semi-industrial,industrial.,barn,A,Geography 11,True
400,How is the main form of livestock farming in the Southwest Asia region generally assessed?,High development,No development,Underdeveloped,Applying many technologies to livestock farming,C,Geography 11,True
401,The outstanding natural features of the Southwest Asia region are,brilliant civilization and muslim population,bridge position between Asia and Antarctica.,"rich in resources, especially oil and gas.",intermediate position of two continents and three continents.,C,Geography 11,True
404,The most important mineral resource in the Southwest Asia region is,coal and chromium.,copper and phosphate,oil and natural gas,natural gas and iron,C,Geography 11,True
405,Which country has the lowest GDP per capita among the following countries?,Cambodia.,Laos.,Vietnam.,Myanmar.,D,Geography 11,True
407,The overall goal of ASEAN is to,resolve internal differences regarding country-to-country relations.,"economic development, education and social progress of member states.",build ASEAN into the region with the highest economic growth rate.,"Solidarity and cooperation for a peaceful, stable and developing ASEAN.",D,Geography 11,True
409,"As of 2020, which of the following countries in Southeast Asia has not joined ASEAN?",East Timor.,Laos.,Myanmar.,Brunei.,A,Geography 11,True
410,The traditional (long-standing) industrial manufacturing sectors of the United States are currently mainly concentrated in the region.,Southeast.,Northeast.,Pacific coast,Gulf of Mexico,B,Geography 11,True
412,Which of the following statements is true of the coastal plain of the Republic of South Africa?,"Small area, fertile alluvial soil.",Located in the southwest and northeast.,Runs along the northwest coast.,"Mainly alkaline, salty and acidic soil.",A,Geography 11,True
415,The reason China's major industrial centers are concentrated in coastal areas and large cities is not because,continental temperate climate,flatter terrain,abundant labor resources,good technical facilities,A,Geography 11,True
416,Japan's territory stretches out in an arc about,8300 km.,3800 km.,380 km.,830 km.,B,Geography 11,True
417,Which of the following minerals has the largest reserves in Japan?,Oil and gas.,Iron and manganese.,Coal and copper.,Bauxite and apatite.,C,Geography 11,True
419,The most important crop in the Republic of South Africa is,corn.,wheat,sugarcane,Soybean,A,Geography 11,True
421,Which of the following mountain ranges is located on the coast of South Africa?,Drekenberg.,Double.,Calahari.,Atlas.,A,Geography 11,True
422,Which of the following mountains is the highest in the Republic of South Africa?,Table Mountain.,Nagesh,Mou-tan.,East Coast.,B,Geography 11,True
423,The Dresden Mountains in South Africa extend for more than,1200km.,1100km.,1000km.,1300km.,C,Geography 11,True
425,The development of which of the following industries contributed to China's successful construction of spacecraft?,"Electricity, metallurgy, mechanics, consumer goods manufacturing.","Electronics, precision mechanics, automatic machine manufacturing.","Electronics, metallurgy, precision engineering, power generation.","Electricity, machine manufacturing, mechanics, coal mining, textiles.",B,Geography 11,True
429,Which of the following islands has the largest natural area in Japan?,Kiu-xiu.,Xi'an.,Hokkaido.,Kiss.,D,Geography 11,True
430,In which country below was the Internet first developed?,United States.,France.,Virtue.,Russia,A,Geography 11,True
431,Which of the following is not a consequence of economic regionalization?,Strengthening the process of economic globalization.,Increasing the gap between rich and poor countries.,Driving force for economic growth and development.,Strengthening trade and investment liberalization in services.,B,Geography 11,True
