Question,A,B,C,D,Answer,Grade
"Fill in the appropriate pair of conjunctions in the blank to form a complete compound sentence: "".........Dung did not know his lesson ......was criticized by the teacher in front of the class.""", Because.......so, Although........but, If ...... then, Not only....but also, A,
" In the winter of 1637, what important responsibility did King Le Than Tong give to the third-ranked scholar Giang Van Minh?"," Disguise behavior, learn about people's lives", Write him a book about folk customs., Send envoy to China, Compete with the Chinese envoy who is present in our country, C,
 What level did Giang Van Minh pass in the talent selection exam?, Dr., Third Prize, Label board, Champion, B,
" When capitalizing Vietnamese names, the first letter of:", Surname, Name, Middle name," Capitalize first name, last name, middle name", D,
 What is fishing ground?," The sea area has a lot of shrimp and fish, convenient for fishing.", fishing area, sea area for military exercises, None of the above three answers, A,
" What characters are included in the text ""Establishing a village to protect the sea""?"," Two characters, the father and the son"," Three characters: Nhu, Nhu's father and Nhu's grandfather"," Four characters: Nhu, Nhu's father, Nhu's mother and Nhu's grandfather"," Five characters: Nhu, Nhu's parents, Nhu's grandfather and Nhu's brother", B,
 What did Nhu's father and grandfather discuss?, Talk about moving to the capital to live, Discussing marriage for Nhu's brother," Village meeting to migrate to the island, gradually bringing Nhu's whole family to the island", Build a big boat to take people to the island., C,
 Which of the following proverbs does not express compassion?, the whole leaves cover the torn leaves, A piece when hungry is worth a pack when full., Sharing food and clothes, one sun two dew, D,
"Read the article by Ut Vinh and fill in the missing words in the blanks: ""........: steel or iron bars connected together into two parallel lines to create a track for trains, trams or trolleybuses to run on""", Barrier, Magnetic shock absorber, Sound, Rail, D,
 The third part of the phrase East Sea Oil and Gas Company is:, Company, Oil and gas, East Sea, Oil and Gas Company, C,
 Which of the following words is NOT synonymous with duty?, Obligation, Function, Responsibility, Mission, B,
 Under which dynasty did Ngo Thi Nham serve as an official?," Mac, Le, Trinh Dynasties"," Le, Mac, Tay Son dynasties"," Le, Trinh, Tay Son dynasties"," Le, Trinh, Tay Son dynasties", B,
 What is the purpose of the edict?, Calling on Nguyen Anh's followers to help Tay Son,Calling on Confucian scholars to help the country, Calling on martial arts experts to help the country, Calling on Northern scholars to collaborate with the Tay Son dynasty, D,
 In what country's context was the edict issued?, When the Le-Trinh dynasty collapsed, When Trinh Sam ascended the throne, Nguyen Hue ascended the throne, When the Tay Son dynasty collapsed, C,
 The answer does not correctly reflect the attitude of the Northern scholars:, Scholars who hide their names waste their talents., Officials keep to themselves and do not dare to speak frankly., Many talented people are still unwilling to help the country.,Many people admired King Quang Trung's talent and recommended him., D,
" What does the excerpt ""An era in poetry"" discuss?", Works of the New Poetry movement., Spirit of New Poetry, Vietnamese realism., Art for humanity, B,
" Who is the author of ""Chieu cau hien""?", Ngo Thi Nham, Ngo Thi Si, Ngo family literary school, Quang Trung, A,
"The poetic soul ""heroic"", Hoai Thanh used to refer to which poet in the article ""An era in poetry""?", Luu Trong Lu, Nguyen Binh, Huy Thong, Nguyen Nhuoc Phap, C,
" ""Strange"" poetic soul, Hoai Thanh used to refer to which poet in the article ""An era in poetry""", Xuan Dieu, Huy Can, Che Lan Vien, Han Mac Tu, C,
" The phrase ""rustic"" poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""", Nguyen Nhuoc Phap, Nguyen Binh, Luu Trong Lu, To Huu, B,
" The word ""pure"" in poetry, Hoai Thanh used to refer to which poet in the article ""An era in poetry""?", The Lu, Luu Trong Lu, Nguyen Nhuoc Phap, Nguyen Binh, C,
