Question,A,B,C,D,Answer,Grade,retained
Kinh tuyến là đường nối dài từ đâu tới đâu?,20 - 30km.,Dưới 20km.,30 - 40km.,Trên 40km.,B,Địa lý 6,True
Ở trên đại dương vỏ Trái Đất có độ dày thế nào?,kinh tuyến.,kinh tuyến gốc.,vĩ tuyến.,vĩ tuyến gốc,A,Địa lý 6,True
Hãy cho biết các cơn bão ở Thái Bình Dương được đặt tên như thế nào?,Theo số thứ tự trong năm,Lấy luân phiên từ danh sách quốc gia trong khu vực đề xuất,Lấy theo tính chất của bão,tất cả đều sai,B,Địa lý 6,True
Các hồ móng ngựa được hình thành do nguyên nhân nào?,Sụt đất,Núi lửa,Băng hà,Khúc uốn của sông,D,Địa lý 6,True
Em hãy cho biết lớp nào sau đây của Trái Đất chứa các loại kim loại nặng?,Lớp vỏ Trái Đất,Manti dưới.,Manti trên.,Nhân Trái Đất.,D,Địa lý 6,True
Thủy quyển là lớp nước trên Trái Đất không tồn tại ở trạng thái nào sau đây?,Rắn.,Quánh dẻo.,Hơi.,Lỏng.,B,Địa lý 6,True
Sinh vật trên Trái Đất tập trung chủ yếu ở,đới ôn hòa và đới lạnh.,xích đạo và nhiệt đới.,đới nóng và đới ôn hòa.,đới lạnh và đới nóng.,C,Địa lý 6,True
"Hoàn thành câu sau: Khí hậu ảnh hưởng . . . . . . . tới sự phát triển và phân bố của sinh vật chủ yếu thông qua nhiệt độ, nước, độ ẩm không khí và ánh sáng.",Nhiều,Gián tiếp,Trực tiếp,ít,C,Địa lý 6,True
Trên Trái Đất nước mặn chiếm khoảng,"30,1%.","2,5%.","97,5%.","68,7%.",C,Địa lý 6,True
Động vật nào sau đây thường ngủ vào mùa đông?,Cá voi.,Gấu trắng.,Cá tra.,Chó sói.,B,Địa lý 6,True
Cho biết Việt Nam nằm trong khu vực có lượng mưa trung bình năm là bao nhiêu?,Từ 201 - 500 mm.,Từ 501- l.000mm.,Từ 1.001 - 2.000 mm.,Trên 2.000 mm.,C,Địa lý 6,True
Rừng nhiệt đới gió mùa không có đặc điểm nào sau đây?,Rừng thường có 3-4 tầng cây.,Phân bố ở đường Xích đạo.,"Cây đặc trưng là họ vang, đậu.",Các loài động vật phong phú.,B,Địa lý 6,True
"""Khí hậu của một nơi là sự......... tình hình thời tiết ở nơi nào đó, trong một thời gian dài, từ năm nay này qua năm khác và đã trở thành quy luật"". Chọn từ thích hợp điền vào chỗ chấm?",Lặp đi lặp lại,Thay đổi,Biến chuyển,Chuyển đổi,A,Địa lý 6,True
Trên bề mặt Trái Đất có bao nhiêu đới ôn hòa?,4.,5.,2.,3.,C,Địa lý 6,True
Theo em đâu là nguồn cung cấp ánh sáng và nhiệt cho Trái Đất?,Các hoạt động công nghiệp,Sự đốt nóng của Sao Hỏa,Con người đốt nóng,Ánh sáng từ Mặt Trời,D,Địa lý 6,True
Các nguồn tài nguyên trên Trái Đất phân bố,đồng đều.,phân tán.,không đồng đều.,tập trung.,C,Địa lý 6,True
Ngành kinh tế nào sau đây không chịu ảnh hưởng trực tiếp từ các điều kiện tự nhiên nhất?,Du lịch.,Trồng trọt.,Vận tải.,Tin học.,D,Địa lý 6,True
Các tầng cao của khí quyển có đặc điểm nào sau đây?,Nằm phía trên tầng đối lưu.,Các tầng không khí cực loãng.,Có lớp ô dôn hấp thụ tia tử ngoại.,Ảnh hưởng trực tiếp đến con người.,B,Địa lý 6,True
"Đối với khoáng sản nguyên nhiên liệu (dầu mỏ, khí tự nhiên), các quốc gia nào châu Âu đã sử dụng giải pháp nào để hạn chế giảm khí thải CO
2
vào khí quyển?",Kiểm soát khí thải.,Tạm dừng khai thác khoáng sản.,"Đánh thuế cac-bon, thuế tiêu thụ.",Sử dụng năng lượng tái tạo.,C,Địa lý 7,True
Đặc điểm nào sau đây không phải là đặc điểm vị trí của châu Á?,Là một bộ phận của lục địa Á - Âu.,Kéo dài từ cực Bắc đến vùng xích đạo.,Đại bộ phận diện tích nằm giữa chí tuyến Bắc và chí tuyến Nam.,Tiếp giáp với 2 châu lục và 3 đại dương rộng lớn.,C,Địa lý 7,True
"Để cải thiện chất lượng không khí, biện pháp nào được sử dụng ở các thành phố châu Âu?","Ngăn cấm chặt phá, đốt rừng.","Sử dụng xe đạp, phương tiện công cộng.",Sử dụng túi môi trường thay thế túi ni-lon.,Sử dụng năng lượng mặt trời.,B,Địa lý 7,True
Nền văn minh phát triển sớm nhất Châu Phi là gì?,Sông Nin.,Nam Phi.,Công gô.,Du mục.,A,Địa lý 7,True
Trụ sở của EU được đặt ở đâu?,New York (Mĩ).,Bruc-xen (Bỉ).,Luân Đôn (Anh).,Pa - ri (Pháp).,B,Địa lý 7,True
Hình thức canh tác làm nương rẫy nằm ở môi trường nào?,Môi trường xích đạo.,Môi trường nhiệt đới.,Môi trường hoang mạc.,Môi trường cận nhiệt.,B,Địa lý 7,True
Nguyên nhân nào dẫn đến ô nhiễm môi trường không khí ở châu Âu?,"Chặt phá, cháy rừng.","Rác thải sinh hoạt, công cộng.",Hoạt động sản xuất nông nghiệp.,"Hoạt động sản xuất công nghiệp, tiêu thụ năng lượng.",D,Địa lý 7,True
Ai là người xây dựng lên nền văn minh sông Nin?,Người Nam Phi.,Người Ai Cập.,Người Công - gô.,Người Ăng - gô - la.,B,Địa lý 7,True
Sản phẩm công nghiệp nào nổi tiếng về hương vị thơm ngon và thị trường xuất khẩu lớn của thế giới?,Ca cao.,Cà phê.,Thuốc lá.,Chè.,B,Địa lý 7,True
Quốc gia nào có mật độ xe đạp ghi nhận tham gia giao thông nhiều nhất ở châu Âu?,Anh.,Đức.,Đan Mạch.,Tây Ban Nha.,C,Địa lý 7,True
"Ở Tây Á, khoáng sản nào có trữ lượng lớn nhất?",Vàng.,Dầu mỏ.,Than.,Sắt.,B,Địa lý 7,True
"Ranh giới tự nhiên nào ở phía đông, ngăn cách châu Âu với châu Á?",Sông Ê-nit-xây.,Dãy U-ran.,Sông Vôn-ga.,Sơn nguyên Trung Xi-bia.,B,Địa lý 7,True
Dân cư châu Âu chủ yếu thuộc chủng tộc nào?,Môn-gô-lô-it.,Nê-grô-it.,Ơ-rô-pê-ô-it.,Ôx-tra-lô-it.,C,Địa lý 7,True
Nước nào là trung tâm lớn của thế giới về khai thác dầu?,Li-bi.,An-giê-ri.,Nam Phi.,Kê - ni - a.,B,Địa lý 7,True
Đồng tiền nào được sử dụng ở Liên minh châu Âu (EU)?,Ơ-rô.,USD.,Yên.,Nhân dân tệ.,A,Địa lý 7,True
Nguồn tài nguyên rừng bị suy giảm do đâu?,Khai thác rừng.,Cháy rừng.,Biến đổi khí hậu.,Khai thác khoáng sản.,A,Địa lý 7,True
Ai là người tìm ra châu Mỹ?,Bartolomeu Dias.,C.Cô-lôm-bô.,Bartolomeu Dias.,Francis Xavier,B,Địa lý 7,True
Bắc Mỹ có diện tích đất đồng bằng rộng lớn nhưng hiện nay đang bị thoái hóa mạnh do nguyên nhân nào?,Lớp phủ thực vật bị phá hủy.,Sử dụng phân bón hóa học lớn và thuốc bảo vệ thực vật.,Chất thải công nghiệp.,Nguồn nước bị ô nhiễm.,B,Địa lý 7,True
Đặc điểm nào sau đây không đúng với đồng bằng A-ma-dôn?,"Vùng nông nghiệp có diện tích hẹp ngang, kéo dài.",Thảm thực vật rừng mưa nhiệt đới bao phủ.,"Đất đai rộng, bằng phẳng.",Mạng lưới sông ngòi dày đặc.,A,Địa lý 7,True
Kiểu khí hậu nào ở Bắc Mỹ chiếm diện tích lớn nhất?,Ôn đới.,Nhiệt đới.,Hàn đới.,Núi cao.,A,Địa lý 7,True
Các luồng nhập cư có vai trò quan trọng như thế nào đến sự hình thành cộng đồng dân cư Bắc Mỹ?,"Xung đột sắc tộc, tôn giáo.",Gia tăng dân số tự nhiên.,Thành phần chủng tộc đa dạng.,Đô thị hóa phát triển.,C,Địa lý 7,True
Hệ thống Cooc-đi-e kéo dài bao nhiêu ki-lô-mét?,3260 km.,6000 km.,7000 km.,9000 km.,D,Địa lý 7,True
Khu vực địa hình nào nối liền lục địa Bắc Mỹ và Nam Mỹ?,Eo đất Trung Mĩ.,Quần đảo Ăng-ti.,Biển đỏ.,Kênh đào Xuy-ê.,B,Địa lý 7,True
Tại sao đô thị hóa ở Trung và Nam Mỹ mang tính tự phát?,"Không xuất phát từ phát triển công nghiệp, chủ yếu là di dân.","Công nghiệp phát triển mạnh, gia tăng dân số nhanh.","Thành phần chủng tộc đa dạng, ngôn ngữ phong phú.",Tình trạng di dân đông nhất trên thế giới.,A,Địa lý 7,True
Diện tích của châu Mỹ là bao nhiêu?,"10 triệu km
2
.","44,4 triệu km
2
.","42 triệu km
2
.","20,2 triệu km
2
.",C,Địa lý 7,True
Tại sao diện tích rừng A-ma-dôn đang bị suy giảm?,Thiếu nước để tưới tiêu.,Khí hậu nóng lên.,Tình trạng hoang mạc hóa lan rộng.,"Khai phá rừng lấy gỗ, đất canh tác, làm giao thông, cháy rừng.",D,Địa lý 7,True
"Bắc Mỹ phát triển nền kinh tế đa dạng, đời sống cư dân ở mức cao do đâu?",Phương thức khai thác hợp lí và bền vững.,"Địa hình bằng phẳng, lãnh thổ rộng.",Tài nguyên thiên nhiên phong phú.,"Khí hậu ôn hòa, mát mẻ.",A,Địa lý 7,True
Đặc điểm nào sau đây không đúng với đồng bằng A-ma-dôn?,"Vùng nông nghiệp có diện tích hẹp ngang, kéo dài.",Thảm thực vật rừng mưa nhiệt đới bao phủ.,"Đất đai rộng, bằng phẳng.",Mạng lưới sông ngòi dày đặc.,A,Địa lý 7,True
Việc khai thác rừng A-ma-dôn đã tác động như thế nào tới môi trường của thế giới?,Tác động lớn đến khí hậu toàn cầu vì A-ma-dôn là “lá phổi” của thế giới.,Chỉ ảnh hưởng đến môi trường của khu vực Nam Mỹ.,Không ảnh hưởng gì tới môi trường toàn cầu do đã có biện pháp khắc phục.,Chỉ ảnh hưởng trực tiếp đến các nước trong khu vực Trung và Nam Mỹ.,A,Địa lý 7,True
Loài động vật không sống ở châu Nam Cực là,chim cánh cụt hoàng đế.,Cá voi xanh.,Cú tuyết.,Hải cẩu Oát-đen.,B,Địa lý 7,True
Tại sao diện tích rừng A-ma-dôn đang bị suy giảm?,Thiếu nước để tưới tiêu.,Tình trạng hoang mạc hóa lan rộng.,Khí hậu nóng lên.,"Khai phá rừng lấy gỗ, đất canh tác, làm giao thông, cháy rừng.",C,Địa lý 7,True
Lễ hội Ca-na-van ở Trung và Nam Mỹ chủ yếu diễn ra hằng năm ở nước nào?,Bra-xin.,Ác-hen-ti-na.,Bô-li-vi-a.,Cô-lôm-bi-a.,A,Địa lý 7,True
Đới thiên nhiên ôn hòa ở Bắc Mỹ phân bố ở,Từ 60^{o}$B trở lên vùng cực.,Diện tích lớn ở phía Nam Hoa Kỳ.,Có diện tích lớn gồm phía nam Ca-na-da và lãnh thổ Hoa Kỳ.,Ven biển.,C,Địa lý 7,True
Sự phân hóa thiên nhiên Trung và Nam Mỹ không phải do yếu tố nào gây ra?,Vĩ độ.,Địa hình.,Khí hậu.,Con người.,D,Địa lý 7,True
Băng hiện nay ở Nam Cực Có xu hướng,mỏng dần.,dày thêm.,mở rộng về phía Xích đạo.,mở rộng về phía cực Nam.,A,Địa lý 7,True
Cri-xtô-phơ Cô-lôm-bộ đã thực hiện bao nhiêu cuộc hải trình đến châu Mỹ,1.,2.,3.,4.,D,Địa lý 7,True
Tại sao đô thị hóa ở Trung và Nam Mỹ mang tính tự phát?,"Không xuất phát từ phát triển công nghiệp, chủ yếu là di dân.","Công nghiệp phát triển mạnh, gia tăng dân số nhanh.","Thành phần chủng tộc đa dạng, ngôn ngữ phong phú.",Tình trạng di dân đông nhất trên thế giới.,A,Địa lý 7,True
"Ý nào không đúng về đặc điểm sông, hồ Bắc Mỹ",Mi-xi-xi-pi là hệ thống sông lớn nhất Bắc Mỹ.,Có nhiều hồ.,Vùng Hồ Lớn nằm ở Hoa Kỳ.,Hồ tập trung nhiều ở phía nam.,D,Địa lý 7,True
Năm 2003 số dân sống  trong các đô thị chiếm khoảng :,24%,25%,26 %,27 %,C,Địa lý 9,True
Hãy cho biết dân cư tập trung đông đúc ở các vùng nào ?,Đồng bằng,Ven biển,Các đô thị,"Cả A, B, C, đều đúng",D,Địa lý 9,True
"Dựa vào Atlat trang 15, hãy cho biết những đô thị nào có quy mô dân số trên 1 triệu người","Hà Nội. Hải Phòng, Thành phố HCM .","Hà Nội, Đà Nẵng, Thành Phố Hồ Chí Minh","Huế, Đà Nẵng, Cần Thơ","Thành  Phố HCM, Đồng Nai, Bà Rịa Vũng Tàu",A,Địa lý 9,True
"Phân theo trình độ, nguồn lao động nước ta chủ yếu là:",Đã qua đào tạo,Lao động trình độ cao,Lao động đơn giản,Tất cả chưa qua đào tạo.,C,Địa lý 9,True
Cơ cấu lao động phân theo ngành kinh tế đang có sự chuyển dịch theo hướng:,"Giảm tỷ trọng ngành nông, lâm, ngư nghiệp, tăng tỷ trọng các ngành công nghiệp và dịch vụ.","Giảm tỉ trọng lao động trong ngành nông, lâm, ngư nghiệp, tăng tỉ trọng lao độgn trong ngành công nghiệp và dịch vụ.",Giảm tỷ trọng trong tất cả các nghành.,Tăng tỷ trọng trong tất cả các nghành.,A,Địa lý 9,True
"Trong cơ cấu GDP của nước ta, ngành dịch vụ có đặc điểm:",Chiếm tỉ trọng thấp nhất nhưng có xu hướng tăng lên.,Chiếm tỉ trọng cao nhất nhưng có xu hướng giảm xuống.,chiếm tỉ trọng cao nhưng xu hướng còn biến động.,"Tỉ trọng cao hơn nông –lâm- ngư nghiệp, nhưng còn thấp hơn công nghiệp, xây dựng và ít biến động.",A,Địa lý 9,True
Sự đổi mới nền kinh tế biểu hiện qua việc tăng mạnh tỷ trọng:,Nông nghiệp,Công nghiệp – xây dựng,Dịch vụ,"Câu B, C đúng.",D,Địa lý 9,True
"Ngoài những thử thách trong nước, ta đang phải đối mặt với thử thách từ bên ngoài là:",Du nhập lao động,"Du nhập máy móc, thiết bị",Du nhập hàng hoá,Sự đầu tư.,C,Địa lý 9,True
Biểu hiện nào sau đây thể hiện sự chuyển dịch cơ cấu kinh tế theo lãnh thổ?,"Giảm tỉ trọng khu vực nông, lâm, ngư nghiệp.",Trong nông nghiệp đã hình thành các vùng chuyên canh.,Kinh tế cá thể được thùa nhận và ngày càng phát triển.,Công nghiệp là ngành có tốc độ phát triển nhanh nhất.,B,Địa lý 9,True
Nhân tố quyết định đến sự phát triển và phân bố nông nghiệp là:,nhân tố kinh tế – xã hội,Sự phát triển công nghiệp,Yếu tố thị trường,Tất cả các yếu tố trên.,A,Địa lý 9,True
Ở nước ta chăn nuôi chiếm tỉ trọng thấp trong nông nghiệp nguyên nhân chủ yếu là:,Nước ta đất hẹp người đông nên chăn nuôi khó phát triển.,"Không có nhiều đồng cỏ, nguồn thức ăn còn thiếu.","Giống gia súc, gia cầm có chất lượng thấp.",Cơ sở vật chất cho chăn nuôi còn yếu kém,D,Địa lý 9,True
Hiện nay vùng phát triển ngành thủy sản mạnh nhất nước ta là,Đồng bằng sông Hồng,Đồng bằng sông Cửu Long,Duyên hải Nam Trung Bộ,Cả ba vùng trên,B,Địa lý 9,True
