Question,A,B,C,D
"Chính phủ trong một nền kinh tế chi tiêu cho hàng hóa và dịch vụ là 100 triệu USD và trợ cấp ở mức đến 10% thu nhập  quốc dân. Tỷ  lệ thuế trực thu là 30%. Thâm hụt hay thặng dư của Chính phủ là bao nhiêu, nếu thu nhập tại điểm cân bằng là 400 triệu USD",Thặng dư 30,Thâm hụt 20,Thâm hụt 60,Thặng dư 50
"Chính phủ trong một nền kinh tế chi tiêu cho hàng hóa và dịch vụ là 100 triệu USD và trợ cấp ở mức đến 10% thu nhập  quốc dân. Tỷ  lệ thuế trực thu là 30%. Nếu thu nhập  tại điểm toàn dụng  nhân công là 750, ngân sách tại điểm đó bằng  bao nhiêu?",150,180,250,100
Mô hình tăng trưởng Solow:,"Chỉ ra ảnh hưởng của tiết kiệm, tỷ lệ tăng dân số và tiến bộ công nghệ tới sự tăng trưởng theo thời gian của sản lượng","Mô tả quá trình sản xuất, phân phối và phân bổ sản lượng của nền kinh tế tại một thời điểm nhất định",Chỉ ra rằng tỷ lệ khấu hao là yếu tố then chốt quyết định khối lượng tư bản ở trạng thái dừng,
"Theo mô hình Solow, một quốc gia dành tỷ lệ thu nhập  cao cho tiết kiệm và đầu  tư, nó sẽ:",Có khối lượng tư bản ở trạng thái vàng thấp hơn và thu nhập cao hơn,Dự báo tỷ lệ khấu hao là yếu tố then chốt quyết định một nước giàu hay nghèo,Có khối lượng tư bản ở trạng thái dừng lớn hơn và thu nhập cao hơn,
Việt Nam tăng thuế nhập khẩu vàng từ 0.5% lên 1% và bỏ khung lãi suất trần VNĐ 12% khiến cho:,Giá vàng trong nước tăng,Giá USD giảm,Tổng cầu sẽ tăng do mọi người kỳ vọng giá vàng sẽ tăng nên chi tiêu cho việc mua vàng tích trữ nhiều hơn,
"Khi Y<YP,  khi nào nền kinh tế quốc gia tái thiết lập được cân đối bên trong?",Khi giá cả và tiền lương cứng nhắc,Khi giá cả và tiền lương linh hoạt,"Trong dài hạn, nền kinh tế sẽ không tái thiết lập được cân đối bên trong","Trong ngắn hạn, cân đối bên trong được tái thiết lập và tổng cầu (sản lượng) giảm"
"Năm 1914, Công ty Henry Pho (thương hiệu về đồ may mặc) trả cho công nhân 5$/ngày, trong khi mức lương phổ biến trên thị trường đương thời là 2 – 3$/ngày. Công ty này đã:",Chịu sự áp chế của luật tiền lương tối thiểu,Công đoàn và thương lượng tập thể trong công ty đã quyết định mức lương,Công ty áp dụng lý thuyết tiền lương hiệu quả,
Một lý do làm cho đường tổng cầu có độ dốc âm là:,Mọi người tìm thấy những hàng hóa thay thế khi giá cả của một mặt hàng mà họ đang tiêu dùng tăng,Dân cư trở nên khá giả hơn khi mức giá giảm và do đó sẵn sàng mua nhiều hàng hơn,"Mức giá thấp hơn làm tăng sức mua của lượng tiền mà mọi người đang nắm giữ, do đó họ sẽ tăng tiêu dùng","Khi mức giá tăng, mọi người sẽ chuyển từ tiêu dùng hàng ngoại sang tiêu dùng hàng sản xuất trong nước"
Khi chính phủ tăng thuế đánh vào hàng tiêu dùng nhập  khẩu,Đường tổng cầu dịch chuyển sang phải,Đường tổng cầu dịch chuyển sang trái,Đường tổng cung dịch chuyển sang phải,Đường tổng cung dịch chuyển sang trái
Khi OPEC tăng giá dầu thì:,Tỷ lệ lạm phát ở các nước nhập khẩu dầu mỏ tăng,GDP thực tế ở các nước nhập khẩu dầu mỏ giảm,Thu nhập quốc dân được phân phối lại từ các nước nhập khẩu dầu sang các nước xuất khẩu dầu,Tất cả các câu đều đúng
"Tất cả những  điều sau thường dẫn tới tăng nhu cầu tiền trong giao dịch, trừ:",Tăng nói chung trong giá cả hàng tiêu dùng,Dự đoán giá hàng tiêu dùng tăng,Tăng mức thu nhập,
"Nếu đầu tư gia tăng thêm một lượng 15 và xu hướng tiêu dùng biên là 0,8, khuynh hướng đầu tư biên = 0. Mức sản lượng sẽ:",Gia tăng thêm là 19,Gia tăng thêm là 27,Gia tăng thêm là 75,Không có câu nào đúng
Điểm nào dưới đây không đẩy cán cân thanh toán của Việt Nam đến thặng dư trong tài khoản giao dịch?,"Tăng số lượng người đi nghỉ từ Pháp, Trung Quốc sang Việt Nam",Tăng cổ tức đầu tư của Việt Nam vào Lào,Tăng thu nhập từ xuất khẩu nhờ bán đồ cổ sang Mỹ,
Cán cân thanh toán của một quốc gia sẽ thay đổi khi:,Lãi suất trong nước thay đổi,Sản lượng quốc gia thay đổi,Tỷ giá hối đoái thay đổi,Các câu đều đúng
"Tất cả những yếu tố dưới đây là bộ phận  của thu nhập  quốc dân, trừ:",Tiền lương cảnh sát,Tiền trả tù nhân cho công việc họ làm trong tù,Trợ cấp ốm đau,Lương của những người làm trong các tổ chức từ thiện
"Nếu GDP = 1000$, tiêu dùng = 600$, thuế = 100$ và chi tiêu chính phủ = 200$, thì:","Tiết kiệm = 200$, đầu tư = 200$","Tiết kiệm = 300$, đầu tư = 300$","Tiết kiệm = 100$, đầu tư = 200$",
"Nếu công chúng giảm tiêu dùng 100tỷ USD và chính phủ tăng chi tiêu 100 tỷ USD, các yếu tố khác không đổi, thì trường hợp nào sau đây đúng:",Tiết kiệm tăng và nền kinh tế sẽ tăng trưởng nhanh hơn,Tiết kiệm giảm và nền kinh tế sẽ tăng trưởng chậm hơn,Tiết kiệm không đổi,Chưa có đủ thông tin để kết luận sẽ có ảnh hưởng gì đến tiết kiệm hay không
"Trong dài hạn, lạm phát có nguyên nhân ở việc:",Các ngân hàng có sức mạnh thị trường và từ chối cho vay tiền,"Chính phủ tăng thuế quá cao đến mức làm tăng chi phí của việc tiến hành kinh doanh và do vậy, làm tăng giá cả",Chính phủ cho in quá nhiều tiền,
Nếu mức giá tăng gấp đôi,Lượng cầu tiền giảm một nửa,Cung tiền bị cắt giảm một nửa,Thu nhập danh nghĩa không bị ảnh hưởng,
"Trong dài hạn, cầu tiền phụ thuộc nhiều nhất vào:",Mức giá,Sự sẵn có của thẻ tín dụng,Sự sẵn có của các đại lý ngân hàng,Lãi suất
Lý thuyết số lượng tiền tệ kết luận rằng sự gia tăng của cung tiền gây ra:,Sự gia tăng tương ứng của tốc độ lưu thông,Sự gia tăng tương ứng của giá cả,Sự gia tăng tương ứng của sản lượng thực tế,
Nếu tiền có tính trung lập thì:,Sự gia tăng của cung tiền chẳng có ý nghĩa gì cả,"Cung tiền không thể thay đổi bởi vì nó gắn chặt với một loại hàng hoá, ví dụ vàng","Sự thay đổi của cung tiền chỉ ảnh hưởng đến các biến thực tế, ví dụ sản lượng thực tế",
"Nếu cung tiền tăng 5%, và sản lượng thực tế tăng 2%, giá cả sẽ tăng:",5%,Nhỏ hơn 5%,Lớn hơn 5%,Các lựa chọn đều sai
Các nước sử dụng thuế lạm phát bởi vì:,Chính phủ không hiểu được nguyên nhân và hậu quả của lạm phát,Chính phủ có được một ngân sách cân bằng,Chi tiêu của chính phủ rất lớn và khoản thu thuế của chính phủ không tương xứng và họ gặp khó khăn trong việc đi vay,
"Giả sử lãi suất danh nghĩa là 7% trong khi đó cung tiền tăng với tốc độ 5%/năm. Nếu chính phủ tăng tốc độ tăng tiền từ 5% lên đến 9%, hiệu ứng Fisher cho thấy rằng trong dài hạn, lãi suất danh  nghĩa sẽ là:",4%,9%,11%,
"Nếu lạm phát trong thực tế lớn hơn so với mức mà mọi người kỳ vọng, thì:",Của cải được tái phân phối từ người đi vay sang người cho vay,Của cải được tái phân phối từ người cho vay sang người đi vay,Không có sự tái phân phối nào xảy ra,Lãi suất thực tế không bị ảnh hưởng
Loại chi phí lạm phát nào sau đây không xảy ra khi lạm phát ổn định và có thể dự kiến được,Chi phí mòn giày,Chi phí thực đơn,Các tác hại do lạm phát gây ra sự biến dạng về thuế,
"Giả sử rằng do lạm phát, người dân Brazil giữ tiền mặt một cách ít nhất và hàng ngày họ tới ngân hàng để rút lượng tiền mặt theo nhu cầu.  Đây là một ví dụ về:",Chi phí mòn giày,Chi phí thực đơn,Các tác hại do lạm phát gây ra sự biến dạng về thuế,
"Nếu lãi suất thực tế là 4%, tỷ lệ lạm phát là 6%, và thuế suất là 20%, mức lãi suất thực tế sau thuế là bao nhiêu?",1%,2%,3%,
Lời bình luận nào sau đây phản ánh đúng về một tình huống trong đó thu nhập thực tế tăng với tốc độ 3%/năm,"Nếu lạm phát là 5%, mọi người sẽ nhận được mức lương tăng thêm khoảng 8%/năm","Nếu lạm phát là 0%, mọi người sẽ nhận được mức lương tăng thêm khoảng 3%","Nếu tiền có tính trung lập, sự gia tăng cung tiền sẽ không làm thay đổi tốc độ gia tăng của thu nhập",
Câu nào sau đây là đúng?,Phụ nữ có khuynh hướng có tỷ lệ thất nghiệp như nam giới,Tỷ lệ tham gia lực lượng lao động của nam giới đang tăng,Người da đen có tỷ lệ thất nghiệp thấp hơn người da trắng,
Luật tiền lương tối thiểu có khuynh  hướng:,Tạo ra nhiều thất nghiệp hơn trong thị trường việc làm kỹ năng cao so với trong thị trường việc làm kỹ năng thấp,Tạo ra nhiều thất nghiệp hơn trong thị trường việc làm kỹ năng thấp so với trong việc làm kỹ năng cao,Không tác động đến thất nghiệp nếu nó vẫn được đặt trên tiền lương cân bằng cạnh tranh,Trợ giúp tất cả thanh niên bởi họ nhận được tiền lương cao hơn họ tự xoay sở
"Cho dù vì lý do nào, thì tiền lương được đặt cao hơn mức lương cân bằng cạnh tranh cũng",Làm cho công đoàn có khả năng đình công và tiền lương sẽ hạ xuống mức cân bằng,Chất lượng công nhân hạ thấp xuống bởi sự lựa chọn tiêu cực của công nhân trong khi xin việc,Lượng cung về lao động vượt lượng cầu về lao động và sẽ có thất nghiệp,Lượng cầu về lao động vượt lượng cung về lao động và sẽ có thiếu hụt lao động
Câu nào nói về tiền lương hiệu quả là đúng?,Doanh nghiệp không có sự lựa chọn nào về việc trả tiền lương hiệu quả hay không bởi vì tiền lương này được xác định bởi luật,Việc trả lương ở mức thấp nhất có thể luôn luôn đạt hiệu quả nhất,Việc trả trên mức lương cân bằng cạnh tranh tạo ra rủi ro về đạo đức vì nó làm cho công nhân vô trách nhiệm,"Việc trả trên mức lương cân bằng cạnh tranh có thể cải thiện sức khoẻ công nhân, giảm bớt tốc độ thay thế công nhân, cải tiến chất lượng công nhân, và nâng cao nỗ lực công nhân"
Loại thất nghiệp nào sau đây tồn tại ngay cả khi tiền lương ở mức cân bằng cạnh tranh,Thất nghiệp do luật tiền lương tối thiểu,Thất nghiệp do công đoàn,Thất nghiệp do tiền lương hiệu quả,Thất nghiệp tạm thời
Công đoàn có khuynh hướng làm tăng chênh lệch tiền lương giữa người trong cuộc và người ngoài cuộc vì:,"Bằng việc làm tăng tiền lương trong khu vực có công đoàn, nó có thể tạo ra tăng cung về lao động trong khu vực không có công đoàn","Bằng việc làm tăng tiền lương trong khu vực có công đoàn, nó có thể tạo ra sự giảm sút cung về lao động trong khu vực không có công đoàn",Bằng việc giảm cầu về công nhân trong khu vực có công đoàn,Bằng việc tăng cầu về công nhân trong khu vực có công đoàn
Chính sách nào sau đây của chính phủ thất bại đối với việc giảm tỷ lệ thất nghiệp?,Giảm trợ cấp thất nghiệp,Thiết lập các cơ quan việc làm,Thiết lập chương trình đào tạo công nhân,
"Một nền kinh tế nhỏ và mở cắt giảm chi tiêu cho quốc phòng, điều gì sẽ xảy ra với tiết kiệm, đầu tư, cán cân thương mại và tỷ giá hối đoái?","Tiết kiệm tăng, đầu tư không đổi, cán cân thương mại tăng và tỷ giá hối đoái thực tế giảm","Tiết kiệm giảm, đầu tư không đổi, cán cân thương mại tăng và tỷ giá hối đoái thực tế giảm","Tiết kiệm tăng, đầu tư tăng, cán cân thương mại tăng và tỷ giá hối đoái thực tế giảm","Tiết kiệm giảm, đầu tư giảm, cán cân thương mại tăng và tỷ giá hối đoái thực tế giảm"
