,Câu hỏi,A,B,C,D,Answer,Grade
101,Nội dung nào sau đây không phải là của phương pháp phân tích các thế hệ lai?,mARN là khuôn mẫu để tổng hợp ADN.,Hai mạch của gen làm khuôn mẫu để tổng hợp nên mARN.,Trình tự các nuclêôtit của mARN qui định trình tự nuclêôtit của gen.,Trình tự các nuclêôtit trên mạch khuôn của gen qui định trình tự nuclêôtit của mARN.,D,Sinh học 9
102,Điều nào đúng khi nói về cấu tạo của phân tử ARN là:,2.,4.,8.,16.,B,Sinh học 9
103,Bản chất mối quan hệ giữa gen (ADN) và mARN là gì?,Từ 300 đến 600.,Từ  600 đến 1500.,Từ 1500 đến 2000.,Từ 2000 đến 2500.,B,Sinh học 9
104,Ở ruồi giấm 2n = 8. Số lượng nhiễm sắc thể kép ở kì giữa của giảm phân II là?,Cấu trúc bậc 1.,Cấu trúc bậc 2.,Cấu trúc bậc 3.,Cấu trúc bậc 4.,A,Sinh học 9
105,Số cặp nuclêôtit trong mỗi gen là:,Hai loại giao tử với tỉ lệ 3A : 1a,Hai loại giao tử với tỉ lệ 2A : 1a,Hai loại giao tử với tỉ lệ 1A : 1a,Hai loại giao tử với tỉ lệ 1A : 2a,C,Sinh học 9
106,Bậc cấu trúc nào sau đây có vai trò chủ yếu xác định tính đặc thù của prôtêin?,X = 1.000.000,X = 500.000,X = 400.000,X = 800.000,C,Sinh học 9
107,Sự phân li của cặp nhân tố di truyền Aa ở F1 tạo ra:,mARN.,tARN.,rARN.,"mARN, tARN và rARN.",D,Sinh học 9
108,"Một phân tử ADN có tổng số nuclêôtit là 1.200.000, biết loại T = 200.000. Vậy số nuclêôtit loại X là bao nhiêu?","1 thân xám, cánh dài: 1 thân đen, cánh cụt.","2 thân xám, cánh dài: 1 thân đen cánh cụt.","3 thân xám, cánh dài: 1 thân đen cánh cụt.","1 thân xám, cánh dài: 3 thân đen, cánh cụt.",C,Sinh học 9
109,Quá trình hình thành chuỗi axít amin có sự tham gia của loại ARN nào?,1 tinh bào và 1 trứng.,1 tinh trùng và 1 noãn bào.,1 tinh trùng và 1 trứng.,1 tinh trùng và 1 thể cực.,C,Sinh học 9
110,"Trong thí nghiệm của Moocgan, nếu cho  lai 2 dòng ruồi giấm thuần chủng thân xám, cánh dài, với thân đen, cánh cụt, sau đó cho ruồi ­F­1­ tạp giao với nhau, giả định có sự liên kết hoàn toàn thì kết quả phép lai ở F­2­ về kiểu hình  là:",Mắt đen (AA).,Mắt đen (Aa).,Mắt nâu (aa).,Không thể có khả năng đó.,A,Sinh học 9
111,"Trong quá trình thụ tinh, hợp tử được tạo thành do sự kết hợp giữa:",Toàn quả vàng.,Toàn quả đỏ.,Tỉ lệ 1 quả đỏ : 1 quả vàng.,Tỉ lệ 3 quả đỏ : 1 quả vàng.,B,Sinh học 9
112,Một người phụ nữ mắt nâu (aa) muốn chắc chắn sinh ra con mắt đen thì phải lấy người chồng có kiểu gen và kiểu hình nào sau đây ?,"Nguyên phân, giảm phân.","Giảm phân, thụ tinh.","Nguyên phân, giảm phân, thụ tinh.","Nguyên phân, thụ tinh.",C,Sinh học 9
113,"Ở cà chua, tính trạng quả đỏ trội hoàn toàn so với tính trạng quả vàng. Khi cho cây cà chua quả đỏ thuần chủng lai phân tích thì thu được:",Biến đổi xảy ra trong kiểu gen.,"Sự thay đổi kiểu hình của sinh vật,",Biến đổi xảy ra trong ADN và NST.,Biến đổi xảy ra do môi trường.,C,Sinh học 9
114,Sự duy trì ổn định bộ nhiễm sắc thể đặc trưng của những loài sinh sản hữu tính qua các thế hệ cơ thể là nhờ những quá trình nào?,2 kiểu hình.,3 kiểu hình.,5 kiểu hình.,4 kiểu hình.,D,Sinh học 9
115,Đột biến là gì?,Kì đầu.,Kì cuối.,Kì giữa.,Kì sau.,C,Sinh học 9
116,"Thí nghiệm của Menden đem lai hai thứ đậu Hà lan thuần chủng khác nhau về 2 cặp tính trạng tương phản, F2 thu được số kiểu hình:",Bộ nhiễm sắc thể ở tất cả tế bào con được giữ vững và giống như bộ nhiễm sắc thể của hợp tử.,Có sự tổ hợp bộ nhiễm sắc thể của giao tử đực và cái.,Các giao tử kết hợp ngẫu nhiên tạo nên các tổ hợp nhiễm sắc thể giống nhau về nguồn gốc.,Có sự kết hợp nhân của giao tử đực và cái.,B,Sinh học 9
117,"Ở kì nào của giảm phân II, nhiễm sắc thể kép xếp thành một hàng ở mặt phẳng xích đạo của thoi phân bào?",Mất đoạn nhiễm sắc thể.,Đảo đoạn nhiễm sắc thể.,Lặp đoạn nhiễm sắc thể.,Chuyển đoạn nhiễm sắc thể.,B,Sinh học 9
118,"Vai trò của việc trồng cây gây rừng trên vùng đất trọc, đất trống là:","Hạn chế xói mòn, lũ lụt, cải tạo khí hậu.",Cho ta nhiều gỗ.,Phủ xanh vùng đất trống.,Bảo vệ các loài động vật.,A,Sinh học 9
119,Nguyên nhân gây ô nhiễm khí thải chủ yếu do quá trình đốt cháy,"Gỗ, than đá.","Khí đốt, củi.","Khí đốt, gỗ.","Gỗ, củi, than đá, khí đốt.",D,Sinh học 9
120,Cơ thể sinh vật được coi là môi trường sống khi:,Chúng là nơi ở của các sinh vật khác.,Các sinh vật khác có thể đến lấy chất dinh dưỡng từ cơ thể chúng.,"Cơ thể chúng là nơi ở, nơi lấy thức ăn, nước uống của các sinh vật khác.",Cơ thể chúng là nơi sinh sản của các sinh vật khác.,C,Sinh học 9
121,Phát biểu nào sau đây là không đúng với tháp tuổi dạng phát triển?,Đáy tháp rộng.,số lượng cá thể trong quần thể ổn định.,Số lượng cá thể trong quần thể tăng mạnh.,Tỉ lệ sinh cao,B,Sinh học 9
122,Nguyên nhân của hiện tượng thoái hóa giống ở cây giao phấn là:,Do giao phấn xảy ra ngẫu nhiên giữa các loài thực vật.,Do lai khác thứ.,Do tự thụ phấn bắt buộc.,Do lai giữa các dòng thuần có kiểu gen khác nhau.,C,Sinh học 9
123,Biện pháp hạn chế ô nhiễm tiếng ồn:,"Hạn chế gây tiếng ồn của các phương tiện giao thông,",Lắp đặt các thiết bị lọc khí cho các nhà máy.,"Hạn chế tiếng ồn của các phương tiện giao thông, xây dựng công viên cây xanh, trồng cây.","Xây dựng công viên cây xanh, trồng cây.",C,Sinh học 9
124,Hệ sinh thái dưới đây không phải là hệ sinh thái trên cạn?,Rừng lá rộng rụng lá theo mùa vùng ôn đới.,Rừng ngập mặn.,Vùng thảo nguyên hoang mạc.,Rừng mưa nhiệt đới.,B,Sinh học 9
125,Quan hệ giữa các cá thể trong hiện tượng “tự tỉa” ở thực vật là mối quan hệ gì? (Chương 1/ bài 44/ mức 3),Hội sinh.,Sinh vật ăn sinh vật khác.,Cạnh tranh.,Cộng sinh.,C,Sinh học 9
126,"Trong mối quan hệ giữa các thành phần trong quần xã, thì quan hệ đóng vai trò quan trọng nhất là",Quan hệ về nơi ở.,Quan hệ dinh dưỡng.,Quan hệ hỗ trợ.,Quan hệ đối địch,B,Sinh học 9
127,Thành tựu nổi bật nhất trong chọn giống cây trồng ở nước ta là ở lĩnh vực nào?,"Chọn giống lúa, lạc, cà chua.","Chọn giống ngô, mía, đậu tương.","Chọn giống lúa, ngô, đậu tương.","Chọn giống đậu tương, lạc, cà chua.",C,Sinh học 9
128,Chỉ số thể hiện mật độ cá thể của từng loài trong quần xã là:,Độ đa dạng,Độ nhiều,Độ thường gặp.,Độ tập trung,B,Sinh học 9
129,"Ngoài việc cung cấp gỗ quý, rừng còn có tác dụng gì cho môi trường sống của con người?",Cung cấp động vật quý hiếm.,"Thải khí CO2, giúp cây trồng khác quang hợp.","Điều hòa khí hậu, chống xói mòn, ngăn chặn lũ lụt.",Là nơi trú ẩn của nhiều loài động vật.,C,Sinh học 9
130,Cây thông mọc riêng rẽ nơi quang đãng thường có tán rộng hơn cây thông mọc xen nhau trong rừng vì:,Ánh sáng mặt trời tập trung chiếu vào cành cây phía trên.,Cây có nhiều chất dinh dưỡng.,Cây có nhiều chất dinh dưỡng và phần ngọn của cây nhận nhiều ánh sáng.,Ánh sáng mặt trời chiếu được đến các phía của cây.,D,Sinh học 9
131,Địa y sống bám trên cành cây. Giữa địa y và cây có mối quan hệ theo kiểu nào dưới đây?,Hội sinh.,Cộng sinh.,Kí sinh.,Nửa kí sinh.,A,Sinh học 9
132,Trùng sốt rét phát triển ở đâu trong cơ thể người ?,Trong gan.,Trong gan và hồng cầu.,Trong  bạch cầu.,Trong hồng cầu.,B,Sinh học 9
133,Hoạt động nào sau đây của con người không ảnh hưởng đến môi trường?,Hái lượm.,Săn bắn quá mức.,Chiến tranh.,"Hái lượm, săn bắn, chiến tranh.",A,Sinh học 9
134,"Nếu ở thế hệ xuất phát P có kiểu gen 100% Aa , trải qua 3 thế hệ tự thụ phấn thì tỉ lệ đồng hợp ở thế hệ con thứ 3 (F3) là:","87,5%.",75%.,25%.,"18,75%.",A,Sinh học 9
135,"Xây dựng nhiều công viên, trồng cây xanh để:",Hạn chế bụi.,Điều hoà khí hậu.,Xử lí chất thải nông nghiệp.,"Hạn chế bụi, điều hoà khí hậu.",D,Sinh học 9
136,"Với các cây xanh sống ở vùng nhiệt đới, chồi cây có các vảy mỏng bao bọc, thân và rễ cây có các lớp bần dày. Những đặc điểm này có tác dụng gì?",Hạn chế sự thoát hơi nước khi nhiệt độ không khí cao.,Tạo ra lớp cách nhiệt bảo vệ cây.,Hạn chế ảnh hưởng có hại của tia cực tím với các tế bào lá.,Giảm diện tích tiếp xúc với không khí lạnh,B,Sinh học 9
137,Tập hợp cá thể nào dưới đây là quần thể sinh vật?,"Tập hợp các cá thể giun đất, giun tròn, côn trùng, chuột chũi đang sống trên một cánh đồng.","Tập hợp các cá thể cá chép, cá mè, cá rô phi đang sống chung trong một ao.",Tập hợp các cây có hoa cùng mọc trong một cánh rừng.,Tập hợp các cây ngô (bắp) trên một cánh đồng.,D,Sinh học 9
138,Nhược điểm của phương pháp chọn lọc hàng loạt là:,"Chỉ dựa vào kiểu hình, thiếu kiểm tra kiểu gen.",Không có hiệu quả khi áp dụng trên vật nuôi.,Không có hiệu quả trên cây tự thụ phấn.,Đòi hỏi phải theo dõi công phu và chặt chẽ.,A,Sinh học 9
139,Công nghệ sinh học đóng vai trò quan trọng như thế nào trong việc bảo vệ tài nguyên sinh vật:,Bảo tồn nguồn gen quý hiếm.,Tạo ra nhiều giống mới.,Lưu giữ và nhân nhanh nhiều giống quý hiếm.,Đáp ứng được nhu cầu ngày càng cao của con người.,C,Sinh học 9
140,Hiện tượng khống chế sinh học có thể xảy ra giữa các quần thể nào sau đây:,Quần thể ếch đồng và quần thể chim sẻ.,Quần thể chim sẻ và quần thể chim chào mào.,Quần thể gà và quần thể châu chấu.,Quần thể cá chép và quần thể cá rô.,C,Sinh học 9
141,Muốn duy trì ưu thế lai trong trồng trọt phải dùng phương pháp nào?,Cho con lai F1 lai hữu tính với nhau.,"Nhân giống vô tính bằng giâm, chiết, ghép…",Lai kinh tế giữa 2 dòng thuần khác nhau.,Cho F1 lai với P.,B,Sinh học 9
142,Vai trò của hệ sinh thái biển đối với đời sống con người?,Các loài động - thực vật biển là nguồn thức ăn của con người.,Biển giúp con người vận chuyển hàng hóa.,Biển cho con người muối ăn.,"Biển cung cấp thức ăn, phát triển kinh tế, giao lưu vận chuyển, điều hòa nhiệt độ trên trái đất.",D,Sinh học 9
143,Lá cây ưa bóng có đặc điểm hình thái như thế nào?,"Phiến lá rộng, mỏng, màu xanh sẫm.","Phiến lá hẹp, dày, màu xanh sẫm.","Phiến lá hẹp, mỏng, màu xanh nhạt.","Phiến lá dài, mỏng, màu xanh nhạt.",A,Sinh học 9
144,"Ở quần thể người, quy định nhóm tuổi trước sinh sản là:",Từ 15 đến dưói 20 tuổi.,Từ sơ sinh đến dưới 15 tuổi.,Từ sơ sinh đến dưói 25 tuổi.,Từ sơ sinh đến dưói 20 tuổi.,B,Sinh học 9
145,Giống dâu tam bội (3n) được tạo ra từ giống dâu tứ bội (4n) với giống dâu lưỡng bội (2n) nhờ phương pháp:,Gây đột biến nhân tạo.,Tạo giống đa bội thể.,Lai hữu tính và xử lí đột biến.,Tạo giống ưu thế lai.,B,Sinh học 9
146,Dựa vào yếu tố nào sau đây để xếp đất vào nguồn tài nguyên tái sinh:,Trong đất chứa nhiều khoáng sản kim loại.,"Đất thường xuyên được bồi đắp bởi phù sa, được tăng độ mùn từ xác động thực vật.",Trong đất có nhiều than đá.,"Nhiều quặng dầu mỏ, khí đốt trong lòng đất.",B,Sinh học 9
147,Những cây sống ở nơi khô hạn thường có những đặc điểm thích nghi nào?,"Lá biến thành gai, lá có phiến mỏng.",Lá và thân cây tiêu giảm.,"Cơ thể mọng nước, bản lá rộng",Hoặc cơ thể mọng nước hoặc lá tiêu giảm hoặc lá biến thành gai.,D,Sinh học 9
148,"Đối với việc sử dụng đất sản xuất, Luật Bảo vệ môi trường quy định cho người được sử dụng là:",Được tự do thay đổi thực trạng của đất.,Có quy hoạch sử dụng đất hợp lí và có kế hoạch cải tạo đất.,Được tự do thay đổi mục đích sử dụng.,Tự do sang nhượng đất.,B,Sinh học 9
149,Qua các thế hệ tự thụ phấn bắt buộc ở cây giao phấn hoặc giao phối gần ở động vật thì :,Tỉ lệ thể đồng hợp và thể dị hợp không đổi.,Tỉ lệ thể đồng hợp giảm và thể dị hợp tăng.,Tỉ lệ thể đồng hợp tăng và thể dị hợp không đổi.,Tỉ lệ thể đồng hợp tăng và thể dị hợp giảm.,D,Sinh học 9
150,Thành phần vô sinh của hệ sinh thái bao gồm những yếu tố nào sau đây:,"Các chất vô cơ: nước, khí cacbonic, khí oxi...., các loài vi rút, vi khuẩn...","Các chất mùn, bã, các loài rêu, địa y.","Các nhân tố khí hậu như: nhiệt độ, ánh sáng, độ ẩm...các loại nấm, mốc.","Nước, khí cacbonic, khí oxi, nhiệt độ, ánh sáng, độ ẩm.",D,Sinh học 9
151,Nhân tố sinh thái là:,Những yếu tố của môi trường tác động tới sinh vật.,Tất cả các yếu tố của môi trường.,Các yếu tố vô sinh hoặc hữu sinh của môi trường.,Các yếu tố của môi trường ảnh hưởng gián tiếp lên cơ thể sinh vật.,A,Sinh học 9
152,Nhóm sinh vật nào dưới đây được xếp vào nhóm động vật biến nhiệt?,"Cá rô phi, cá chép, ếch, cá sấu.","Cá sấu, thỏ, ếch, dơi.","Bồ câu, mèo, thỏ, dơi.","Bồ câu, cá rô phi, cá chép, mèo.",A,Sinh học 9
153,"Nếu ánh sáng tác động vào cây xanh từ một phía nhất định, sau một thời gian cây mọc như thế nào?",Cây vẫn mọc thẳng.,Cây luôn quay về phía mặt trời.,Ngọn cây sẽ mọc cong về phía có nguồn sáng.,Ngọn cây rũ xuống.,C,Sinh học 9
154,Phép lai nào dưới đây gọi là lai kinh tế?,Lai ngô Việt Nam với ngô Mêhicô.,Lai lúa Việt Nam với lúa Trung Quốc.,Lai cà chua hồng Việt Nam với cà chua Ba Lan trắng.,Lai bò vàng Thanh Hóa với bò Hôn sten Hà Lan.,D,Sinh học 9
155,Tháp dân số thể hiện:,Đặc trưng dân số của mỗi nước,Thành phần dân số của mỗi nước,Nhóm tuổi dân số của mỗi nước,Tỉ lệ nam/ nữ của mỗi nước,A,Sinh học 9
156,Trong khi Trái Đất tự quay quanh trục những địa điểm nào sau đây không thay đổi vị trí?,Hai cực.,Hai chí tuyến.,Xích đạo.,Vòng cực.,C,Địa lý 6
157,"Theo em trong các hệ quả của chuyển động tự quay quanh trục, có ý nghĩa nhất đối với sự sống là hệ quả",Sự luân phiên ngày đêm,Giờ trên Trái Đất.,Sự lệch hướng chuyển động của các vật thể.,Hiện tượng mùa trong năm.,A,Địa lý 6
